division_number,title_number,title_header,text_chunk
H,VI,OTHER PROVISIONS,"This title revises requirements for the tax exclusion for contributions to the capital of a corporation. Specifically, it allows an exclusion for certain amounts received by a regulated public utility that provides water or sewerage disposal services., The title provides for the extension of tax rules for stabilizing interest rates on contribution amounts to defined benefit pension plans., The title modifies reporting requirements and definitions relating to brokers and digital assets for returns and information statements required after 2023., This provision provides for the termination of the employee retention tax credit after FY2021, except for start-up businesses which terminate on December 31, 2021."
I,VI,OTHER PROVISIONS,"This division addresses a wide range of policy areas such as energy, health care, and telecommunications. It includes provisions that, - extend the sequester (i.e., automatic spending reductions) for direct spending through FY2031 and adjust the reductions required for Medicare, - authorize the Department of Energy to draw down and sell a portion of the oil from the Strategic Petroleum Reserve, - set forth congressional findings regarding savings from unused unemployment insurance funds, - require manufacturers of certain single-dose container or single-use package drugs covered under Medicare Part B to provide refunds for discarded amounts of the drugs, - extend the authority for enterprise guarantee fees, which are fees that Fannie Mae and Freddie Mac charge for loans included in mortgage-backed securities, - delay the implementation of a Department of Health and Human Services rule that affects the treatment of certain prescription drug rebates under the federal anti-kickback statute, - rescind specified unobligated funds that were provided to address COVID-19 and expand the purposes for which certain COVID-19 funds may be used; and, - extend the authority of the Federal Communications Commission (FCC) to conduct spectrum auctions and require the FCC to conduct certain auctions."
J,VI,OTHER PROVISIONS,"This division provides appropriations for FY2022 for the departments and agencies included in this division., Infrastructure Investments and Jobs Appropriations Act"
J,I,"AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES","This title provides appropriations to the Department of Agriculture for the Natural Resources Conservation Service (NRCS) and the Rural Utilities Service (RUS)., Specifically, the title provides appropriations to the NRCS for, - Watershed and Flood Prevention Operations, - the Watershed Rehabilitation Program, and, - the Emergency Watershed Protection Program., The title provides appropriations to the RUS for the Distance Learning, Telemedicine, and the Broadband Program., In addition, the title provides appropriations to implement a pilot program to study the benefits of using agricultural commodities in the production of construction and consumer products."
J,II,"COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES","This title provides appropriations to the National Telecommunications and Information Administration for, - the Broadband Equity, Access, and Deployment Program, - the Broadband Connectivity Fund, - Digital Equity; and, - Middle Mile Deployment., It also provides appropriations to the National Oceanic and Atmospheric Administration for, - Operations, Research, and Facilities, - Procurement, Acquisition, and Construction; and, - Pacific Coastal Salmon Recovery."
J,III,ENERGY AND WATER DEVELOPMENT AND RELATED AGENCIES,"This title provides appropriations for the U.S. Army Corps of Engineers, the Bureau of Reclamation, the Department of Energy (DOE), and several independent agencies., Specifically, the title provides appropriations for U.S. Army Corps of Engineers civil works projects, including for, - Investigations, - Construction, - Mississippi River and Tributaries, - Operation and Maintenance, - the Regulatory Program, - Flood Control and Coastal Emergencies, - Expenses, and, - the Water Infrastructure Finance and Innovation Program., The title provides appropriations to the Department of the Interior for the Central Utah Project and the Bureau of Reclamation., Within DOE, the title provides appropriations for, - Energy Efficiency and Renewable Energy, - Cybersecurity, Energy Security, and Emergency Response, - Electricity, - Nuclear Energy, - Fossil Energy and Carbon Management, - the Carbon Dioxide Transportation Infrastructure Finance and Innovation Program, - the Office of Clean Energy Demonstrations; and, - the Western Area Power Administration., The title also provides appropriations for several independent agencies, including:, - the Appalachian Regional Commission, - the Delta Regional Authority, - the Denali Commission, - the Northern Border Regional Commission, - the Southeast Crescent Regional Commission, and, - the Southwest Border Regional Commission."
J,IV,FINANCIAL SERVICES AND GENERAL GOVERNMENT,"This title provides appropriations for, - the Office of the National Cyber Director, - the Federal Communications Commission's Affordable Connectivity Fund, and, - the Environmental Review Improvement Fund., It also provides appropriations to the General Services Administration for construction and acquisition, repairs, and alterations of border stations and land ports of entry."
J,V,DEPARTMENT OF HOMELAND SECURITY,"This title provides appropriations to the Department of Homeland Security for, - U.S. Customs and Border Protection, - the U.S. Coast Guard, - the Cybersecurity and Infrastructure Security Agency, - the Federal Emergency Management Agency (FEMA), and, - the Science and Technology Directorate."
J,VI,"DEPARTMENT OF THE INTERIOR, ENVIRONMENT, AND RELATED AGENCIES","This title provides appropriations to the Department of the Interior for, - the U.S. Fish and Wildlife Service, - the U.S. Geological Survey, - the Office of Surface Mining Reclamation and Enforcement, - the Bureau of Indian Affairs, - Departmental Offices, - Wildland Fire Management, and, - an Energy Community Revitalization Program., The title provides appropriations to the Environmental Protection Agency for, - Environmental Programs and Management, - Hazardous Substance Superfund, and, - State and Tribal Assistance Grants., In addition, the title provides appropriations to the Forest Service for, - Forest and Rangeland Research, - State and Private Forestry, - the National Forest System, - Capital Improvement and Maintenance, and, - Wildland Fire Management., Within the Department of Health and Human Services (HHS), the title provides appropriations for the Indian Health Service."
J,VII,"LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES",This title provides appropriations to HHS for the Low Income Home Energy Assistance Program.
J,VIII,"TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES","This title provides appropriations to the Department of Transportation for, - the Office of the Secretary, - the Federal Aviation Administration, - the Federal Highway Administration, - the Federal Motor Carrier Safety Administration, - the National Highway Traffic Safety Administration, - the Federal Railroad Administration, - the Federal Transit Administration, - the Maritime Administration, and, - the Pipeline and Hazardous Materials Safety Administration."
J,IX,GENERAL PROVISIONS--THIS DIVISION,"This title exempts the budgetary effects of specified provisions of this bill from (1) the Statutory Pay-As-You-Go Act of 2010 (PAYGO), (2) the Senate PAYGO rule, and (3) certain budget score keeping rules."
K,IX,GENERAL PROVISIONS--THIS DIVISION,"Minority Business Development Act of 2021, This division provides statutory authority for the Minority Business Development Agency (MBDA) and establishes the Office of Business Centers within the MBDA. The MBDA works to facilitate the growth and global competitiveness of minority business enterprises."
K,I,EXISTING INITIATIVES,"This title provides statutory authority for market development, research, and information gathering initiatives in collaboration with public and private sector entities to assist and promote minority businesses in domestic and foreign markets., The title also provides statutory authority for the MBDA Business Center Program, which establishes a national network of public-private partnerships that assist minority business enterprises in accessing capital, contracts, and grants, creating and maintaining jobs, providing counseling and mentoring, and facilitating the growth of minority business enterprises by promoting trade."
K,II,NEW INITIATIVES TO PROMOTE ECONOMIC RESILIENCY FOR MINORITY BUSINESSES,"This title establishes initiatives to promote the economic resiliency of minority businesses, including requiring the MBDA to (1) conduct a government-business forum to review problems and programs relating to capital formation by minority businesses, (2) study and report on opportunities for providing alternative financing solutions to minority businesses, and (3) promote the education and training of socially or economically disadvantaged individuals in subjects directly relating to business administration and management."
K,III,RURAL MINORITY BUSINESS CENTER PROGRAM,"This title authorizes the MBDA to establish rural business centers, in partnership with minority-serving institutions or consortia of such institutions that are led by a minority-serving institution, to serve rural minority businesses and to focus on issues such as broadband adoption, advanced manufacturing, and job creation."
K,IV,MINORITY BUSINESS DEVELOPMENT GRANTS,"This title establishes the Minority Business Development grant program to award grants to nonprofit organizations that support the development, growth, or retention of minority businesses."
K,V,MINORITY BUSINESS ENTERPRISES ADVISORY COUNCIL,This title requires the MBDA to establish the Minority Business Enterprises Advisory Council to serve as a resource for socially or economically disadvantaged businesses.
K,VI,FEDERAL COORDINATION OF MINORITY BUSINESS PROGRAMS,"This title authorizes the MBDA to coordinate federal plans, programs, and operations that affect the establishment, preservation, and strengthening of socially or economically disadvantaged businesses. Further, it requires the MBDA to take steps to facilitate the participation of federal departments and agencies in supporting such businesses."
K,VII,ADMINISTRATIVE POWERS OF THE AGENCY; MISCELLANEOUS PROVISIONS,"This title provides administrative authorities, allows the MBDA to provide certain federal assistance (e.g., grants) to public and private sector entities to carry out existing initiatives targeting minority businesses, and establishes record keeping and reporting requirements., Drinking Water and Wastewater Infrastructure Act of 2021"
